,city,state,country,lat,lng,localtime,tz_id,last_updated,temp_c,condition,wind_mph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,vis_km,uv,gust_mph
74,Bhadravati,Karnataka,India,13.87,75.72,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,24.4,"['Patchy rain possible', 1063, '//cdn.weatherapi.com/weather/64x64/day/176.png']",17.9,262,W,1011.0,29.86,0.1,0.0,78,100,26.3,10.0,5.0,21.9
75,Bhadreswar,West Bengal,India,22.82,88.35,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,32.0,"['Moderate or heavy rain with thunder', 1276, '//cdn.weatherapi.com/weather/64x64/night/389.png']",10.5,90,E,1005.0,29.68,0.1,0.0,75,75,46.8,2.8,1.0,13.9
76,Bhagalpur,Bihar,India,25.25,87.0,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,33.7,"['Cloudy', 1006, '//cdn.weatherapi.com/weather/64x64/day/119.png']",16.3,104,ESE,1006.0,29.7,0.0,0.0,58,85,40.7,10.0,7.0,19.0
77,Pur Pur,La Libertad,Peru,-7.71,-77.78,2023-07-21 23:54,America/Lima,2023-07-21 23:45,5.6,"['Clear', 1000, '//cdn.weatherapi.com/weather/64x64/night/113.png']",5.6,91,E,1023.0,30.21,0.0,0.0,85,19,3.6,10.0,1.0,11.6
78,Bharatpur,Rajasthan,India,27.22,77.48,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,38.0,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",13.9,125,SE,1003.0,29.6,0.0,0.0,40,27,44.3,10.0,9.0,15.9
79,Bharuch,Gujarat,India,21.7,72.97,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,26.3,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",8.3,229,SW,1005.0,29.66,1.4,0.06,93,100,30.5,10.0,6.0,14.8
80,Bhatpara,West Bengal,India,22.87,88.41,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,32.0,"['Moderate or heavy rain with thunder', 1276, '//cdn.weatherapi.com/weather/64x64/day/389.png']",10.5,90,E,1005.0,29.68,0.1,0.0,75,75,38.4,2.8,7.0,17.2
81,Bhavnagar,Gujarat,India,21.77,72.15,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,28.4,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",10.7,263,W,1005.0,29.66,0.2,0.01,80,95,33.2,10.0,6.0,14.1
82,Bhilai,Chhattisgarh,India,21.22,81.43,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,27.5,"['Overcast', 1009, '//cdn.weatherapi.com/weather/64x64/day/122.png']",8.1,168,SSE,1003.0,29.62,0.0,0.0,79,100,31.1,10.0,6.0,9.6
83,Bhilwara,Rajasthan,India,25.35,74.63,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,32.1,"['Sunny', 1000, '//cdn.weatherapi.com/weather/64x64/day/113.png']",8.1,13,NNE,1003.0,29.62,0.0,0.0,60,15,37.5,10.0,8.0,9.8
