city,latitude,longitude,temperature,humidity
Raiganj,25.62,88.12,31.2,65
Raigarh,21.9,83.4,32.5,60
Raipur,21.23,81.63,41.8,19
Rajahmundry,16.98,81.78,37.7,47
Rajapalayam,9.45,77.57,33.1,51
Gopalpur,22.33,89.1,29.1,76
Rajkot,22.3,70.78,38.8,34
Rajpur,24.77,90.3,32.2,63
Ramagundam,1.53,103.67,29.3,74
Rampur,28.82,79.03,33.5,45
Ranchi,23.35,85.33,29.0,57
Ranibennur,14.62,75.62,33.1,47
Raniganj,23.62,87.13,26.8,88
Ratlam,23.32,75.07,38.0,30
Ferrobank Industrial Township,-25.85,29.17,20.7,35
Raurkela,22.2,84.88,33.2,55
Rewa,24.53,81.3,37.5,27
Rewari,28.18,76.62,33.9,39
Rishra,22.71,88.35,25.4,96
Robertson,21.18,-77.55,23.6,98
Rohtak,28.9,76.57,35.8,38
Roorkee,29.87,77.88,31.9,47
Rudrapur,22.37,89.07,28.2,83
S.A.S. Mediouna,36.12,0.75,24.9,57
Sagar,23.83,78.72,39.0,24
Saharanpur,29.97,77.55,32.1,47
Saharsa,25.88,86.6,30.4,66
Sambalpur,21.45,83.97,34.8,49
Sambhal,28.58,78.55,33.8,44
Miraj,16.83,74.63,36.5,32
Santipur,24.57,88.93,31.2,66
Sasaram,24.95,84.03,33.2,52
Satara,17.68,73.98,32.0,47
Satna,24.58,80.83,37.6,28
Sawai Madhopur,25.98,76.37,39.5,24
Secunderabad,17.45,78.5,37.2,30
Sehore,23.2,77.08,40.0,22
Seoni,22.08,79.53,38.0,24
Serampore,22.75,88.34,25.4,96
Shahjahanpur,27.88,79.92,33.2,45
Shamli,29.45,77.32,32.0,51
Shikohabad,27.1,78.6,35.9,37
Shillong,25.58,91.87,22.4,73
Shimla,31.1,77.17,20.2,51
Shimoga,13.92,75.57,29.5,66
Shivpuri,25.43,77.65,38.0,25
Sikar,27.62,75.15,38.8,20
Silchar,24.82,92.8,33.7,55
Siliguri,29.27,80.98,22.4,66
Singrauli,24.2,82.67,35.7,32
Sirsa,29.53,75.02,41.3,19
Sitapur,27.57,80.68,32.5,49
Siwan,26.22,84.37,30.1,63
Solapur,17.68,75.92,38.5,27
Sonipat,28.98,77.02,34.2,43
Dum-Dum,13.2,15.38,41.2,18
Srikakulam,18.3,83.9,33.4,68
Srinagar,34.09,74.8,25.9,29
Sujangarh,27.7,74.47,40.6,21
Pur Pur,-7.71,-77.78,3.2,71
Sultanpur,26.27,82.07,34.0,45
Surat,20.97,72.9,33.2,59
Surendranagar,22.7,71.68,41.6,28
Suryapet,17.15,79.62,39.0,32
Tadepalligudem,16.83,81.5,38.5,46
Tadpatri,14.92,78.02,37.3,37
Tambaram,12.93,80.11,36.3,46
Tenali,16.25,80.58,37.7,40
Thanesar,29.98,76.82,33.8,42
Thanesar,29.98,76.82,33.8,42
Thanjavur,10.8,79.15,33.8,59
Thiruvananthapuram,8.51,76.96,27.2,84
Thrissur,10.52,76.22,27.0,91
Tiruchirappalli,10.81,78.69,37.9,38
Tirunelveli,8.73,77.7,33.5,51
Tirupati,13.65,79.42,39.0,31
Tiruppur,11.1,77.35,32.2,54
Tiruvannamalai,12.22,79.07,34.0,50
Tiruvottiyur,13.16,80.3,34.6,60
Titagarh,22.74,88.37,25.3,96
Tonk,26.17,75.78,39.3,21
Tumkur,13.34,77.1,32.0,47
Udaipur,27.72,75.48,35.2,32
Udgir,18.38,77.12,37.6,27
Udupi,13.35,74.75,28.7,86
Ujjain,23.18,75.77,38.8,27
Ulhasnagar,19.22,73.15,36.0,45
Uluberia,22.47,88.11,24.6,100
Unnao,26.53,80.5,35.8,38
Uttarpara,25.03,92.02,33.8,50
Vadodara,22.3,73.2,38.0,41
Valsad,20.63,72.93,32.3,63
Varanasi,25.33,83.0,33.3,50
Virar,-12.57,14.42,23.8,29
Vellore,12.93,79.13,35.2,43
Veraval,20.9,70.37,32.2,64
Vidisha,23.53,77.82,40.0,23
Vijayawada,16.52,80.62,38.7,37
Visakhapatnam,17.7,83.3,34.8,57
Vizianagaram,18.12,83.42,34.8,63
Warangal,18.0,79.58,38.5,32
Wardha,20.75,78.62,42.1,20
Yamunanagar,30.1,77.28,33.1,42
Yavatmal,20.4,78.13,39.8,22
